"2","Clementine Bauch","False","suscipit repellat esse quibusdam voluptatem incidunt"
"2","Clementine Bauch","True","distinctio vitae autem nihil ut molestias quo"
"2","Clementine Bauch","False","et itaque necessitatibus maxime molestiae qui quas velit"
"2","Clementine Bauch","False","adipisci non ad dicta qui amet quaerat doloribus ea"
"2","Clementine Bauch","True","voluptas quo tenetur perspiciatis explicabo natus"
"2","Clementine Bauch","True","aliquam aut quasi"
"2","Clementine Bauch","True","veritatis pariatur delectus"
"2","Clementine Bauch","False","nesciunt totam sit blanditiis sit"
"2","Clementine Bauch","False","laborum aut in quam"
"2","Clementine Bauch","True","nemo perspiciatis repellat ut dolor libero commodi blanditiis omnis"
"2","Clementine Bauch","False","repudiandae totam in est sint facere fuga"
"2","Clementine Bauch","False","earum doloribus ea doloremque quis"
"2","Clementine Bauch","False","sint sit aut vero"
"2","Clementine Bauch","False","porro aut necessitatibus eaque distinctio"
"2","Clementine Bauch","True","repellendus veritatis molestias dicta incidunt"
"2","Clementine Bauch","True","excepturi deleniti adipisci voluptatem et neque optio illum ad"
"2","Clementine Bauch","False","sunt cum tempora"
"2","Clementine Bauch","False","totam quia non"
"2","Clementine Bauch","False","doloremque quibusdam asperiores libero corrupti illum qui omnis"
"2","Clementine Bauch","True","totam atque quo nesciunt"
